store_id,status,timestamp_utc
b5d0a65d-6d54-47aa-95e9-9312f0353326,active,2024-10-03 23:33:20.412748 UTC
a792089b-e23d-435f-bc18-113b7cc95e11,active,2024-10-03 23:33:36.781143 UTC
7a242d0e-309c-4915-9755-e9019d69108d,active,2024-10-03 23:33:37.536328 UTC
ca793240-b974-4551-ba0b-649d1a52956c,active,2024-10-03 23:33:56.752347 UTC
3a2313be-27d9-429f-9906-ccd142d9906c,active,2024-10-03 23:34:04.138852 UTC
474b6ebc-d09f-4270-aad1-d8b4bfd0d98c,active,2024-10-03 23:34:06.15508 UTC
be7041f0-8d78-44c5-afcc-6e6b5f339119,active,2024-10-03 23:34:09.738372 UTC
5ff4f817-e978-49a1-acac-20f4b1a886e0,active,2024-10-03 23:34:17.383023 UTC
f2b972e3-64af-41e0-a723-8696289e3cb5,inactive,2024-10-03 23:34:20.51781 UTC
d608c50a-4725-4c02-bbaa-3771509914aa,active,2024-10-03 23:34:24.307392 UTC
3f2fda7a-c60c-47bb-a4e3-e38971b5a6d2,active,2024-10-03 23:34:43.490482 UTC
aae81865-7746-4917-9f0b-78fa788e6986,active,2024-10-03 23:34:45.004785 UTC
0233b870-8996-4137-a1c8-3e4ea98180c9,active,2024-10-03 23:34:47.54671 UTC
746057d8-244f-407c-8338-0deb71d36a14,active,2024-10-03 23:34:54.945422 UTC
327f40b6-5d1a-4f50-8437-bdfb477a4d43,active,2024-10-03 23:35:06.758638 UTC
638a06b8-6a75-48d5-a943-54bc05f573cc,active,2024-10-03 23:35:18.393246 UTC
fb1ce487-93f7-485c-8a91-42cbad973386,active,2024-10-03 23:35:27.512147 UTC
0ae10fd2-556d-4db1-abc4-41acd095e9bc,active,2024-10-03 23:35:35.454051 UTC
850494bb-dab4-4607-b856-fb17b43fabda,active,2024-10-03 23:35:38.684949 UTC
4ee40a3d-4ed8-488f-acc7-44b090615105,active,2024-10-03 23:35:43.72182 UTC
cfb18211-9aed-44ed-bc0c-03535be37b48,active,2024-10-03 23:35:47.318438 UTC
2228b70e-4c0e-4e2a-8a42-3bc96a7fdd08,active,2024-10-03 23:35:51.46238 UTC
